job_title,job_description,data_listed,location,salary
Data Scientist,"Data Scientist required to provide statistical analysis around health data for a leading technology business.Responsibilities:  exploring internal and 3rd party data, improving data collection approaches  data mining using innovative techniques building and optimising classifiers using machine learning methods carrying out analysis and presenting insights and findings in an outcome-focused manner  Requirements:  experience using machine learning techniques and developing algorithms extensive statistical analysis background, including regression testing, distributions etc with some experience working on health-related data solid Python skills  Click on the 'Apply' button or call Sabina Ahuja on (03)99828478", '29 Jan 2020', 'Melbourne',125000.0
Senior Data Scientist - Time-Series (Contrct 700-800pd),"We’re on the hunt for a couple of enthusiastic Data Scientists with experience working on projects with a ‘time-series forecasting’ domain. Our client is a large Melbourne based retail business who are currently building a specialist Data Science division focused on optimising a variety of time sensitive use cases across sales, finance, risk, operations, stock and supply chain environments. They are looking to uplift the company’s capability past tradition ARIMA and Regression based techniques to incorporate more cutting edge applications of Data Science and Machine Learning using Big Data.  As a Senior Data Scientist, the responsibilities of this role will involve but not be limited to:  Leverage cutting edge approaches in DS / AI / ML to optimize time-series related use cases and refine model performance through methods that may include but not be limited to; Gradient Boosting Models, Neural Networks, Random Forests, Linear/Logistic Regression, Attribution Modelling, Segmentation, Predictive Modelling, Scoring Engines etc.  Feature engineer against client requests to ensure implementations meet the clients requirements.  Work on bespoke client projects; support clients strategic decision making which may involve anything form a broad Forecasting toolset.   The successful applicant will come from a strong academic with at least  three years of commercial experience working in a Data Science / Modelling environment, you will be able to demonstrate:  Experience applying ML techniques to Time-Serices Data is essential. At least three years experience industry experience leverging techniques that may include building, testing and deploying production grade predictive models (e.g.Gradient Boosting Models, Neural Networks, Random Forests, Linear/Logistic Regression, Attribution Models, Segmentation, Predictive Models, Scoring Engines, etc.)  Experience with machine learning algorithms and efficient data structures, esembling and model performance tuning A strong team player with a commitment to exceptional client service. Proven ability to deliver in line with time and quality expectations   If this opportunity is of interest, please click 'Apply' or send your resume and cover note without delay to ben@correlateresources.com", '4 Feb 2020', 'Melbourne',255500.0
Data Scientist,"About the company  My client is a company that specialises within the Data Science space – specifically within areas such as Machine Learning and AI. Their foremost goal is to create distinct AI applications and platforms that are available to everyone, from individuals all the way up to big corporations.    About the role Within this position as a Data Scientist you will be working heavily alongside other top-tier Data Scientists and Software Engineers to provide exceptional product outcomes. You will be responsible for the architecture and development of scalable data engineering and machine learning services.    Skills & experience  You will preferably have 3 years’ experience working with:  Java 8 / Python / R Spark / Hadoop Kotlin / Scala / Go AWS or GCP  You will have:  Experience within Deep Learning, Data Structures, & Algorithms Experience within NLP / NLU Highly skilled within Machine Learning & AI Full working rights (PR / Citizenship) PhD in Computer Science or equivalent Solid stakeholder experience     Benefits  Attractive salary + stock options Flexible work / life balance Strong opportunity to learn and grow professionally Working with cutting-edge tech    How to apply  Click APPLY or Call Brianna on 03 9245 0609 for a confidential discussion.", '16 Jan 2020', 'Melbourne',160000.0
Data Scientist | Global Health Tech Business,"The Company Our client is a global leader in health technology with thousands of employees worldwide. This is a business that truly cares about their customers and staff, where talented people are employed, then empowered. With a strong track record for success, your outstanding talents as a data scientist are needed to complete a passionate, imaginative, and inspired team. Your eye for innovation will be instrumental in developing new ways to continually improve the customer experience. The Role Your technical expertise will be a crucial component that allows online visitors to enjoy a smooth experience. You will be playing a leadership role for data science across the business, working closely with IT, CRM, and marketing to optimise marketing campaigns to generate business opportunity and growth. This highly creative role gives you an amazing opportunity to use data to make a difference to people's lives and apply your insights to the entire business and customer journey. This is a great opportunity to lead how the business approaches data science and optimise the end-to-end delivery of data and analytics by working across both projects and business-as-usual in agile and traditional models. Key responsibilities include:Playing a key data science leadership role where you will focus on uplifting the businesses data science competencies, acting as a key advocate for data literacy across the companyUse advanced analytics methods to extract insights from business dataParticipation in the delivery of a suite strategically-identified, cutting-edge data science use-cases that will cover the entire customer journeyCreate hypotheses and experiments to identify hidden relationships to direct new Sales strategiesDeveloping visualisations and presentations that you will use to influence key stakeholders to implement key recommendations from data science initiativesDevelop machine learning models with the aim to facilitate Sales processes About you To be successful you will have a curiosity streak, coupled with an ability to think critically and problem solve. You are someone that always leave things in a much better state than what you found them in. You are able to draw on your business know-how to identify the most valuable works to prioritise, and your brilliant communication and data visualisation skills allow you to convey your exciting ideas and innovations to a broad team that extends to all levels of an organisation from the C-Suite down. You have innovation in your heart, and a true team spirit that makes you an ideal collaborator able to embrace new ideas and suggest innovations of your own.Your experience and skills should include most, if not all:Degree in quantitative fields like Computer Science, Mathematics, Statistics, Economics, etc.Experience in churn analytics, sentiment analysis, customer segmentation, life time value model development, and supporting call centre analytics and operationsData science experience in digital, customer, or retail-focused sectors.Outstanding skills in algorithms, system design, and machine learning.Possess business acumen, critical thinking, a clear and open communication, relational and team building skillsExcellent knowledge of SQL, R or Python ,and Office packageA self-starter approach with the confidence to look beyond the “here and now” for the “what could be” In the ‘nice to have’ category we have experience with IoT/OT based-data science with exposure to OSIsoft PI or similar OT technologies, preferably (but not mandatorily) in the power generation space. Skills in PowerBI, SSRS, Dataiku will also be useful, ultimately though, it is your experience in business development and finance, plus your interpersonal skill set, values and drive, that will ultimately make you the right fit for this role. What’s on offer? A truly creative environment where anyone can bring a fresh idea to the table, and your personal creativity and fresh approach will be valued.Free onsite parking and year-round social events such as barbeques, fundraisings, morning teas and more!Employee Wellbeing initiatives such as yearly flu vaccinations, Employee Assistance Program (EAP), discounted private health insurance, weekly fresh fruits in the office, Active April and more!Internal growth opportunities within the global business Apply TodayIf this sounds like you then click on the apply button now for a call back soon. Alternatively, please give me a call directly to discuss - 03 9691 3661. 06810-0011347426JVNLearn more about our Melbourne recruitment services:http://www.roberthalf.com.au/recruitment-agency-melbourne", '24 Jan 2020', 'Melbourne',100000.0
Data Scientist - Property and Retail,"We are currently recruiting a junior to mid-level Data Scientist for an internal team based in Sydney CBD. In this role, you will work with some outstanding senior data scientists and managers in end-to-end work that will range from business analytics through to machine learning and predictive modelling. This is a mature and high-performance team that delivers pragmatic and valuable solutions to a range of business units and stakeholders. As such, you will need to bring strong statistical & mathematical foundations, commercial acumen and at least 2 years of commercial analytics or data science experience.    What kind of work will you do in this role and team?  Work closely with a very high calibre data science team, with strong leaders to mentor you in technical and business aspects Use curring-edge analytics and data tools: Apache Spark, Google Cloud Platform, Python, Scala, Hive, SQL, R, Tableau & more Autonomy and end-to-end responsibility on projects and working with stakeholders up to executive leadership Varied use cases – e.g. using ML to personalise marketing, uplift sales, optimise logistics, build pricing models, use data science to improve financial analysis or HR department outcomes! Range of short projects, answering interesting questions with data and longer-term data science/ML projects        Required Skills & Experience:  You must have a minimum of 2 years working in a commercial/professional analytics or data science role An academic background in statistics, mathematics, computer science, actuarial studies or similar is desirable Experience building end-to-end models, through requirement gathering, data cleansing and management, feature engineering, modelling, testing/optimising, presentation of insights (including data visualisation or automation of reporting), etc. SQL skills are a must for ETL, data management and either Python or R are expected for building models Any Apache Spark or GCP experience is beneficial (big query, pub/sub, dataflow, etc.        Benefits of this role:  This is a fantastic career opportunity to join one of the top data science teams in Sydney! The business is extremely successful and has a large data footprint and wide variety of use-cases to apply analytics and machine learning to.       There is a high-performing team, with great mentors and leaders and an expectation for continued learning.       Flexible work is encouraged and they have fostered a friendly, open and agile team culture that values diversity.  At this stage, we are only able to consider applicants with full Australian working rights.", '20 Jan 2020', 'Sydney',110000.0
Data Scientist,"A Top Tier Consulting Firm are seeking a talented Data Scientist to design, develop and execute practical and scalable analytics solutions for their new digital arm of the business.If you have the ability to solve complex problems in ambiguous and technologically challenged environments with your creative and lateral thinking, then this is the role for you.Leverage advanced technologies, data and human insights to re-invent organisations to become world class digital enterprises.RoleYou'll work with a number of stakeholders on factual problem formation, data identification and deriving answers that can be operationalised to solve business issues. You will work proactively to:Determine the suitability and feasibility of an analytical solution for a given commercial problemSupport the selection and configuration of analytical tools and infrastructure appropriate to client's objectives, current and target state analytic maturity.Design, develop and implement machine learning solutions, predictive models and visual analysis to solve complex business problems across a number of areas and industriesTranslate analytical solution outcomes in the context of business impacts and benefits.You Highly skilled within ML, NLP, DL or AIProven experience building, testing and productionising predictive models and advanced analytics solutions.High-level understanding of architecting cloud-based solutionsFluency in at least one of the following programming languages: R, Python, ScalaFamiliarity with the following data-related technologies: Hadoop, Pig, Hive, Impala, SQL, Teradata, Oracle, SAS, MongoDBExcellent communication and stakeholder management skills with a knack for distilling complex and/or technical information for novice audiences. Please apply for the role, and if shortlisted, you will be contacted.Nick BarwickData & BIRecruitment ConsultantLet's Connecthttps://www.linkedin.com/in/nbarwick/+ 61 2 9249 8057By submitting your resume and other personal information with this application you are consenting to this information being collected in line with our privacy policy. Follow the link to learn more - www.greythorn.com.au/privacy-policyState: QLD, licensee/s Manpower Services (Australia) Pty Ltd, LHL-02026-D5L4Q. State: QLD, licensee/s Greythorn Pty Ltd, LHL-02014-Y5F6D. State: SA, licensee/s Manpower Services (Australia) Pty Ltd, LHS 288856, State: SA, licensee/s Greythorn Pty Ltd, LHS 288821. For queries relating to 'Labour Hire Licences' ONLY please contact: 'labour.hire.licensing.enquiries@au.manpowergroup.com' (do not apply to the advert using this email).", '17 Jan 2020', 'Sydney',140000.0
Junior Marketing Data Scientist / Analyst,"Our client is a high profile and iconic global brand with one of the largest and most successful loyalty programs in the country. With established data driven culture and cutting edge tech. With massive investment being made into this division they are looking for an up and coming Junior Customer / Marketing Data Scientist (Analyst)  to join the team. As a Junior Customer / Marketing Data Scientist (Analyst) the key responsibilities of this will include but not be limited to;   Engaging with key marketing stakeholders to consult around customer contact strategy and analytical project requirements, discussing timelines against deliverables to ensure workable outcomes can be achieved. Leveraging strong SQL and Python programming skills to extract, manage and merge large volumes customer data and build both simple and complex optimisation models.  Providing intelligent, sophisticated and pragmatic analysis to optimise customer engagement strategy. Leveraging techniques that may include; complex business logic and conceptual design, customer insights and segmentation, propensity modelling, machine learning and data science, experimental design, control group creation/testing, test and learn strategy, next best action analysis, real time decisioning, ROI analysis, sentiment analysis, etc.  Present the analysis results with ongoing strategic recommendations presented in Tableau dashboards to be consumed by stakeholder groups.  The successful applicant will come with strong experience working in a complex Customer Analytics environment, where developing intelligent campaign strategy from complex SQL data sets has been a key focus. You will be able to demonstrate:    Strong strategic marketing analysis experience, with the ability to think out side the box, apply business logic, and develop bespoke analytical solutions.  Strong technical skills using SQL and Python or SAS to manipulate large volumes of customer behavioural/transaction data and build complex optimisation models  (e.g. SQL Teradata, Oracle SQL, SQL Server, Python, SAS Base or R) Experience working with Marketing Automation tools such as Adobe (Campaign & Audience Manager), Salesforce Marketing Cloud, PEGA, Unica, etc.     Data Visualisation skills in Tableau, Qlik, or PowerBI An understanding or appreciation of the Customer / Marketing / Campaign Analytics landscape and analytical concepts such as; Customer insights and segmentation, propensity modelling, machine learning and data science, business logic and conceptual design, experimental design, control group creation/testing, test and learn strategy, next best action analysis, real time decisioning, ROI analysis, sentiment analysis, etc  To apply for this position please click on the 'Apply Now' button below or send you're resume and cover note to ben@correlateresources.com", '24 Jan 2020', 'Sydney',185640.0
Data Science Consultant,"Data Scientist - Consultant (4 month contract) You will be working on a number of high profile initiatives and projects across multiple business units as part of an established analytics capability within the business. These initiatives aim to provide a commercial insights to the end client that will help them meet the strategic goals of the business and the group. You will be acting as an internal consultant providing a bridge between the business and the data science team, where you will manage and prioritise a pipeline of use-cases, whilst directing the team on best practice and modelling technique application. Responsibilities include:  Guide the development analytics solutions and models that will provide business insights into client activity  Collaborate with the business to provide insights for presentation to clients Leverage the big data platform and technology to derive meaningful insight from the data Project work to define business requirements for the creation of best in class use case analytics You will need to have prior experience in data science (from any industry) supported by a relevant degree such Statistics, Maths or Actuarial. You will have a depth of data science knowledge to draw upon and be looking for a role where you can own the business relationships whilst guiding and mentoring a team to delivery. Strong communication skills are essential. If you're interested in hearing more about this opportunity, please forward your CV to Rob.Anderson@tomexecutive.com", '20 Jan 2020', 'Sydney',292000.0
Data Science Engineer,"Data Engineering | Cloud & Machine Learning environment  I am working with one of Australia's leading enterprise organisations in a newly put together team, that is changing the script on the way enterprise organisations tackle data problems across their business. This team operates across the wider orgaisation, engaging with GM/Executive level stakeholders to solve any issues that may arise within their respected vertical/domains. If there is a problem to solve, efficiencies to be gained, productivity to be fine-tuned, this team finds it, solves it, sells it back to the stakeholder, and moves on to the next piece or work. They are also equipped to source their own projects if they see opportunities for improved efficiency within the business.  The team is driven by four key pillars which outline all they do: PrototypingHigh-Impact InsightsData CommercialisationRapid-Cycle TestingStarting off as a proof of concept with only 6 heads, their numbers now exceed 30 data professionals consisting of Data Analysts/Consultants, Data Scientists, Data Engineers (including Big-Data Skill set) and software engineers.  There is No BAU work, focusing on fast paced solutions which require buy in from execs you are servicing, before handing back over to internal teams to implement the prototype solutions. These sprints are targeted between 8-12 weeks, meaning every day is different in this fast-paced/consulting environment. The team sees themselves as their own start-up within the business, operating within an agile environment, providing flexible work arrangements with a delivery focused mentality.  For consideration, you will require: Masters Degree or PhD to relevant fields such as Computer Science, Engineering or Mathematics2-3 years' working eexperience as data engineer in fast paced, demanding environment (Start-Ups, Top4 consulting or MacBank environment is desirable)That experience should consist of core data engineering work within cloud environments, with a sound understanding as to how data is acuired and moved through cloud pipelinesStrong Python & SQL coding as mandatoryDesigning and implementing data pipelines for ML modelsProductionizing analytics and/or Machine learning models (Nice to have)Understanding of batch, streaming and interactive data architectures and technologies (Nice to have)Big Data tools, architecture and frameworks (Nice to have)Programming languages including but not limited to Java, C/C++, R - (Nice to have)Extremely rare and exciting opportunity, giving you exposure to both Enterprise Financial Services with some very sharp minds, a supportive and collaborative team and one hell of a potential career path. Something also to note - Not many people at this stage of their career will have exposure to the Chief Data Officer of an ASX Top 10 organisation. This will grant you that exposure and the network you build from here will last your entire career!  Think you can cut the mustard? Apply with a well presented CV    ", '10 Feb 2020', 'Sydney',120000.0
Data Analytics Consultants - Data Forensics - $70-90k,"Our client is a high profile, market leading, management consultancy who have embarked on an exciting period of growth within their Data Forensics practice. As a result they are looking to recruit a number of Data Analytics Consultants to work on high profile data driven forensic investigations across their blue chip client base. Leveraging cutting edge Data Analytics, Insights, Data Science and Machine Learning techniques, this exciting opportunity will act as a true springboard for your career in the field of Data Analytics.As a Data Analytics Consultant - Data Forensics the responsibilities of the role will cover but not be limited to;   Working with a range of bluechip clients on high profile Forensic Data investigations that may focus on but not be limited to; Corruption, Fraud, AML, CTF, Legislative, Remediation, Compliance, Serious Miss Conduct and Criminal Investigations.    Leverage strong SQL and Python/R programming skills manipulate a variety of complex data assets, creating a clean, holistic datasets ready for analysis. Identify key insights from the data utilising a range of analytical techniques that may include but will not be limited to; data insights, segmentation, profiling, cross pollination, scorecard development and other applications of Data Science and Machine Learning techniques.  Develop automated dashboards and reports in Tableau or PowerBi to highlight core insights that will be leveraged for dispute resolution. Present solutions / project output, with key insights and strategic recommendations to external client consumption.   As the successful applicant you will come from a proven background working in a data driven insights role and be able to demonstrate the following;  A proactive and inquisitive approach to problem solving, with a natural tendency to investigate and apply innovative new technical to solve strategic decision making problems. Strong interpersonal communication skills with the ability to consult in an intelligent manor, quickly grasping new concepts and subject matter. Strong technical proficiency using SQL and/or Python and R for modelling data and uncovering insights and analytics. Data Visualisation skills in Tableau, PowerBI, Qlikview etc  A passion for a career in data analytics, where you will provide a consultative service on a variety of data driven decision making projects within a fast passed consulting environment.  To apply for this position please click the 'Apply Now' button below or send your resume and cover note direct to ben@correlateresources.com", '4 Feb 2020', 'Sydney',152880.0
